smiles,IC50
COc1ccc(C(=O)Nc2c(Cl)cccc2Cl)cc1OC1CCCC1,1000000.0
COc1ccc(C(=O)Nc2ccccc2Br)cc1OC1CCCC1,1000000.0
COc1ccc(C(=O)Nc2ccccc2Cl)cc1OC1CCCC1,200000.0
COc1ccc(C(=O)Nc2ccc(F)cc2)cc1OC1CCCC1,1000000.0
COc1ccc(C(=O)Nc2c(Br)cccc2Br)cc1OC1CCCC1,1000000.0
COc1ccc(C(=O)Nc2ccccc2C#N)cc1OC1CCCC1,35000.0
COc1ccc(C(=O)Nc2ccccc2F)cc1OC1CCCC1,1000000.0
COc1ccc(C(=O)Nc2ccccc2C(C)=O)cc1OC1CCCC1,40000.0
COc1ccc(C(=O)Nc2cccc(Cl)c2)cc1OC1CCCC1,40000.0
COc1ccc(C(=O)Nc2ccccc2O)cc1OC1CCCC1,175000.0
COc1ccc(C(=O)Nc2ccc(C)cc2)cc1OC1CCCC1,200000.0
COC(=O)c1ccccc1NC(=O)c1ccc(OC)c(OC2CCCC2)c1,5500.0
COc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1OC1CCCC1,1000000.0
COc1ccc(C(=O)Nc2ccccc2[N+](=O)[O-])cc1OC1CCCC1,65000.0
COc1ccc(C(=O)Nc2ccccc2C(=O)c2ccccc2)cc1OC1CCCC1,2500.0
O=C(c1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)N1CCc2c([nH]c3ccccc23)[C@@H]1c1ccc2c(c1)OCO2,10000.0
CN(C)CCN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,134.0
Cn1ccnc1CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,0.7
O=C(c1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)N1CCc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2,105.0
O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1C1CCN(Cc2ccccc2)CC1,26.0
COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,10000.0
O=C(c1ccc(-c2ccccc2)o1)N1CCc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2,750.0
O=C(CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1)N1CCC1,4.0
COc1ccc([C@@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N([C@@H]4CCN(Cc5ccccc5)C4)CC(=O)N23)cc1C,132.0
O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(O)nc3)N2C(=O)CN1[C@@H]1CCN(Cc2ccccc2)C1,127.0
O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@@H]1CCN(CCC2CC2)C1,15.7
CCNC(=O)CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,3.6
COc1ccc([C@@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N([C@@H]4CCN(Cc5ccccc5)C4)CC(=O)N23)cc1,2.7
CCCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,57.0
Cn1ccnc1CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,0.8
O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1C1CN(Cc2ccccc2)C1,164.0
O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@@H]1CCN(CCc2ccccn2)C1,1.5
O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1CCN1CCOCC1,56.0
O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@H]1CCN(Cc2ccccc2)C1,17.0
CCCCCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,13.2
C=CCCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,4.0
NC(=O)CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1,8.4
O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@@H]1CCN(CCc2cnccn2)C1,2.0
COc1ccc([C@@H]2c3[nH]c4ccccc4c3C[C@@H]3C(=O)N([C@@H]4CCN(Cc5ccccc5)C4)CC(=O)N23)cc1OC,1000.0
O=C(O)CCCC(=O)Nc1ccc(-c2ccc(C(=O)N3CCc4c([nH]c5ccccc45)C3c3ccc4c(c3)OCO4)o2)cc1,100.0
